iteration,ser_time_ns,deser_time_ns,e2e_time_ns,message_size_bytes
516,4219.00,9570.00,15251.00,646
517,4553.00,8323.00,14054.00,646
518,4651.00,11237.00,18528.00,646
519,5640.00,10455.00,16327.00,646
520,5741.00,11689.00,16717.00,646
521,5583.00,11218.00,13866.00,646
522,4515.00,8367.00,13046.00,646
523,5021.00,8140.00,13806.00,646
524,4819.00,9375.00,13826.00,646
525,5097.00,10335.00,14875.00,646
526,5166.00,77515.00,62811.00,646
527,7275.00,11052.00,19450.00,646
528,6141.00,10436.00,16738.00,646
529,5527.00,10111.00,15674.00,646
530,5099.00,10433.00,13882.00,646
531,5232.00,9761.00,13954.00,646
532,4699.00,8811.00,15027.00,646
533,5127.00,8972.00,14839.00,646
534,6061.00,9166.00,18535.00,646
535,5109.00,9440.00,14184.00,646
536,5017.00,10181.00,15418.00,646
537,4800.00,9597.00,14868.00,646
538,5445.00,10631.00,14851.00,646
539,4785.00,9017.00,14227.00,646
540,8996.00,12285.00,16603.00,646
541,5030.00,10377.00,15066.00,646
542,4926.00,9378.00,15356.00,646
543,4883.00,45247.00,27010.00,646
544,5633.00,11522.00,19108.00,646
545,6520.00,12238.00,18132.00,646
546,6521.00,10462.00,18680.00,646
547,8852.00,11263.00,19781.00,646
548,6297.00,10699.00,20109.00,646
549,7090.00,12839.00,20514.00,646
550,7788.00,14621.00,327783.00,646
551,48889.00,38241.00,14127.00,646
552,3418.00,12877.00,9887.00,646
553,3131.00,5776.00,9452.00,646
554,3053.00,5897.00,9022.00,646
555,3111.00,6282.00,9074.00,646
556,3086.00,6304.00,10384.00,646
557,3184.00,5777.00,9615.00,646
558,3069.00,6622.00,10761.00,646
559,3032.00,6598.00,11061.00,646
560,3089.00,8529.00,11621.00,646
561,3034.00,6977.00,9691.00,646
562,3087.00,6336.00,10370.00,646
563,3729.00,6846.00,11205.00,646
564,3508.00,6907.00,10525.00,646
565,3178.00,6988.00,10061.00,646
566,3291.00,6820.00,10166.00,646
567,3085.00,5875.00,9720.00,646
568,3227.00,6225.00,12579.00,646
569,3034.00,11503.00,31498.00,646
570,3307.00,6789.00,9411.00,646
571,3041.00,6375.00,9000.00,646
572,3015.00,6154.00,10023.00,646
573,3186.00,6035.00,114386.00,646
574,11614.00,10602.00,13356.00,646
575,4889.00,9987.00,15376.00,646
576,5472.00,7874.00,8918.00,646
577,3114.00,5806.00,9164.00,646
578,3103.00,5607.00,9237.00,646
579,3153.00,5644.00,8506.00,646
580,2942.00,6103.00,8791.00,646
581,2965.00,88638.00,13785.00,646
582,3319.00,5907.00,20064.00,646
